text,final_annotation
Absolutely. Its like Ursula said a couple of years ago - the Russians are running out of microchips stolen from Ukrainian dishwashers so pretty soon they will not be able to make any more missiles. The victory is close.,"[[57, 197, ""emotional_fallacy""]]"
Its the same pic from a year ago?,[]
Reminds me of us Japanese during ww2. Brainwashed to believe that dying for the emperor was righteous,"[[38, 101, ""emotional_fallacy""]]"
NO PISS DEALNO WORLD WITHOUT FRIEREN,[]
Is there a map anywhere with details on all the oil infrastructure hits?,[]
"If Ukraine had nuclear weapons wed literally be engulfed in a third world war right now, or living out the aftermath of nuclear strikes.","[[0, 136, ""logical_fallacy""]]"
"Legitimate question: why are Russian troops burning N . Koreans faces to hide theyre N . Korean when the whole world knows they are? Is Russian command telling their soldiers to do so, giving them the impression its mandatory to keep the secret?","[[0, 132, ""logical_fallacy""]]"
"Short on tanks again, but other vehicles getting battered. Good stuff.",[]
The dutch government does not have a winner takes all system but a multi party system where each party gets seats in the parliament equal to the percentage of votes. This means almost always that compromises and working together with different political parties is needed. Its a system that helps a bit against polarization and ignoring minorities. Not saying its perfect though,[]
I guess they do taste and color. A lot.,"[[0, 31, ""emotional_fallacy""]]"
"Hit the vodka distilleries, sure way to cause a revolution.","[[0, 59, ""emotional_fallacy""]]"
"The world needs to wake up, read a book, listen to the very few remaining survivors, see the obvious, stand up to that hate. Control the narrative before we slip into darkness once again.","[[0, 123, ""emotional_fallacy""], [125, 186, ""emotional_fallacy""]]"
As much as I support my own Country Canada I support Ukraine 100% with my dieing breath I will support them,[]
NO REFUNDS YOU FUCKING PIGS DIE DIE DIE,"[[0, 39, ""emotional_fallacy""]]"
"According to X, this guy is a Putin sympathizer, the prime rib of Slovakia, and upset because Ukraine is banning the transit of russian natural gas.","[[0, 47, ""credibility_fallacy""]]"
"He says Make America Great Again, when it’s China that’s going to be the winner from his “HULK MAD!!!! HULK SMASH!!!!” Strategy.",[]
Breaking: Zelenskyy signs the unconditional surrender of his government to the Russian Armed Forces.,"[[0, 100, ""logical_fallacy""]]"
"Picture is a mortar, not kornet atm…",[]
Clowns are too afraid of getting nuked!,"[[0, 38, ""emotional_fallacy""]]"
