text,final_annotation
HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH HAHAHAH,[]
"Leave President Zelensky alone! He is a legitimate leader and has not escaped responsibilities towards his people! The phrase that most characterizes this is: I dont need a ride, we need weapons!",[]
For the Russian anonbelow you can see how they sent the money and why they sent the money.Its distress money for when a family member has to kill their off spring and the family goes into distress.,"[[90, 197, ""emotional_fallacy""]]"
Is there a map anywhere with details on all the oil infrastructure hits?,[]
NO REFUNDS YOU FUCKING PIGS DIE DIE DIE,"[[0, 39, ""emotional_fallacy""]]"
Absolutely. Its like Ursula said a couple of years ago - the Russians are running out of microchips stolen from Ukrainian dishwashers so pretty soon they will not be able to make any more missiles. The victory is close.,"[[57, 197, ""emotional_fallacy""]]"
Breaking: Zelenskyy signs the unconditional surrender of his government to the Russian Armed Forces.,"[[0, 100, ""logical_fallacy""]]"
"According to X, this guy is a Putin sympathizer, the prime rib of Slovakia, and upset because Ukraine is banning the transit of russian natural gas.","[[0, 47, ""credibility_fallacy""]]"
"Well Im not listening to ru*sian propaganda, so yes",[]
A Russian has the same amount of claim to Slavic culture as a German of African descent has to Germanic culture.,"[[0, 112, ""logical_fallacy""]]"
"In the meantime, you can only hate everything that has anything to do with Russia.","[[0, 82, ""emotional_fallacy""], [0, 82, ""logical_fallacy""]]"
Can you imagine working at an oil refinery in Russia right now. Fuck that.,"[[0, 74, ""logical_fallacy""]]"
"He says Make America Great Again, when it’s China that’s going to be the winner from his “HULK MAD!!!! HULK SMASH!!!!” Strategy.",[]
Calling it now. When Stinky falls the whole of Ukraine falls,"[[16, 60, ""logical_fallacy""]]"
 Posted earlier as being a Russian fiber optic drone,[]
Its the same pic from a year ago?,[]
Reminds me of us Japanese during ww2. Brainwashed to believe that dying for the emperor was righteous,"[[38, 101, ""emotional_fallacy""]]"
"Legitimate question: why are Russian troops burning N . Koreans faces to hide theyre N . Korean when the whole world knows they are? Is Russian command telling their soldiers to do so, giving them the impression its mandatory to keep the secret?","[[0, 132, ""logical_fallacy""]]"
Thinking his beard could be trimmed a little…,[]
This desu. We’re seeing the fall of U . SofA,"[[11, 44, ""emotional_fallacy""]]"
"Picture is a mortar, not kornet atm…",[]
"Europeans must provide security . This, thats why this war is unlikely to end IMHO.Kremlin will never agree to station NATO troops near its border in Ukraine.",[]
I guess they do taste and color. A lot.,"[[0, 31, ""emotional_fallacy""]]"
As much as I support my own Country Canada I support Ukraine 100% with my dieing breath I will support them,[]
What grid connection will Kalingrad have..,[]
This is becoming a daily occurrence and it’s making me smile. Now let’s hope economics 101 is true and Ruzzian prices start to rise.,"[[62, 132, ""emotional_fallacy""]]"
